geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1144559,Hukumati Dahanah-ye Ghori,P,PPLA2,AF,Afghanistan,,3,1303,,,3307,,801,Asia/Kabul,2020/6/9,Afghanistan
1144942,Chiras,P,PPL,AF,Afghanistan,,33,3103,,,12779,,2691,Asia/Kabul,2018/2/17,Afghanistan
1469237,Qal'ah-ye Na'im,P,PPLA2,AF,Afghanistan,,13,109,,,0,,1819,Asia/Kabul,2020/6/11,Afghanistan
1125962,'Alaqahdari Shah Joy,P,PPLA2,AF,Afghanistan,,28,2502,,,0,,1865,Asia/Kabul,2020/6/9,Afghanistan
1126884,Sarobi,P,PPLA2,AF,Afghanistan,,13,112,,,0,,987,Asia/Kabul,2020/6/9,Afghanistan
1128239,Rudbar,P,PPL,AF,Afghanistan,,19,2203,,,11034,,556,Asia/Kabul,2018/12/4,Afghanistan
1129648,Qarawul,P,PPL,AF,Afghanistan,,24,1402,,,24544,,337,Asia/Kabul,2020/6/9,Afghanistan
1129678,Qarah Bagh,P,PPLA2,AF,Afghanistan,,11,2007,,,12412,,952,Asia/Kabul,2020/6/9,Afghanistan
1133270,Mir Bachah Kot,P,PPLA2,AF,Afghanistan,,13,103,,,5405,,1673,Asia/Kabul,2020/6/9,Afghanistan
1133856,Mardian,P,PPLA2,AF,Afghanistan,,31,1707,,,0,,287,Asia/Kabul,2018/2/17,Afghanistan
1133987,Mandol,P,PPLA2,AF,Afghanistan,,38,3004,,,0,,2003,Asia/Kabul,2018/2/17,Afghanistan
1134720,Lashkar Gah,P,PPLA,AF,Afghanistan,,10,2301,,,43934,,786,Asia/Kabul,2020/6/9,Afghanistan
1136442,Khugyani,P,PPLA2,AF,Afghanistan,,23,2412,,,0,,1311,Asia/Kabul,2018/2/17,Afghanistan
1136469,Khost,P,PPLA,AF,Afghanistan,,37,3201,,,96123,,1183,Asia/Kabul,2020/6/9,Afghanistan
1138958,Kabul,P,PPLC,AF,Afghanistan,,13,101,,,4434550,,1798,Asia/Kabul,2022/6/18,Afghanistan
1139807,Jabal os Saraj,P,PPL,AF,Afghanistan,,40,302,,,15032,,1612,Asia/Kabul,2018/2/17,Afghanistan
1142172,Fayzabad,P,PPLA2,AF,Afghanistan,,7,1808,,,0,,495,Asia/Kabul,2018/2/17,Afghanistan
1143816,Dasht-e Qal'ah,P,PPLA2,AF,Afghanistan,,6,2104,,,0,,1718,Asia/Kabul,2018/2/17,Afghanistan
1144166,Dangam,P,PPLA2,AF,Afghanistan,,34,1004,,,0,,1250,Asia/Kabul,2020/6/9,Afghanistan
1427089,Qaranghu Toghai,P,PPLA2,AF,Afghanistan,,30,1613,,,0,,301,Asia/Kabul,2020/6/11,Afghanistan
1448087,Chowney,P,PPLA2,AF,Afghanistan,,41,3402,,,0,,1347,Asia/Kabul,2020/6/11,Afghanistan
1453777,Baba Sahib,P,PPLA2,AF,Afghanistan,,23,2404,,,0,,1014,Asia/Kabul,2020/7/10,Afghanistan
1467433,March,P,PPLA2,AF,Afghanistan,,1,1128,,,0,,1607,Asia/Kabul,2018/2/17,Afghanistan
8534687,Salam Khel,P,PPLA2,AF,Afghanistan,,36,705,,,0,,2417,Asia/Kabul,2018/2/17,Afghanistan
1120484,Lash,P,PPLA2,AF,Afghanistan,,7,1805,,,0,,1927,Asia/Kabul,2020/6/9,Afghanistan
1131389,Omnah,P,PPLA2,AF,Afghanistan,,29,2907,,,0,,2595,Asia/Kabul,2020/6/9,Afghanistan
